task,encoding,combo,s1_model,C1_M,C1_R,C2_M,C2_R,C3_M,C3_R,C4_M,C4_R,C5_M,C5_R,C6_M,C6_R,mention_rate,nat_rate,status
MC-PY-02,NLc,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-02,NLf,RRR,opus,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-02,NLf,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-02,NLf,SRR,deepseek,1,Nat,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-02,NLf,RCR,opus,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-02,NLf,RSR,opus,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-02,NLf,RRC,opus,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-02,NLf,RRS,opus,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-03,H,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,H,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,H,SRR,deepseek,1,Str,1,Str,1,Str,1,Str,1,Str,1,Str,1.000,0.000,SCORED
MC-PY-03,H,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,H,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,H,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,H,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,SRR,deepseek,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLc,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLf,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLf,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLf,SRR,deepseek,1,Nat,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-03,NLf,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLf,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLf,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-03,NLf,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,H,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,H,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,H,SRR,deepseek,1,Str,1,Str,1,Str,1,Str,1,Str,1,Str,1.000,0.000,SCORED
MC-PY-04,H,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,H,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,H,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,H,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,SRR,deepseek,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLc,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLf,RRR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLf,CRR,kimi,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLf,SRR,deepseek,1,Nat,1,Nat,1,Nat,0,Om,1,Nat,1,Nat,0.833,1.000,SCORED
MC-PY-04,NLf,RCR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLf,RSR,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLf,RRC,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
MC-PY-04,NLf,RRS,opus,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1,Nat,1.000,1.000,SCORED
